sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AUGI157","carro","Gauss Bobina de Ignição","25","113","GC4373","8511.30.20","8511.30.20"
"AUGI158","carro","Gauss Bobina de Ignição","25","113","GC4375","8511.30.20","8511.30.20"
"AUGI159","carro","Gauss Bobina de Ignição","25","113","GC4380","8511.30.20","8511.30.20"
"AUGI160","carro","Gauss Bobina de Ignição","25","113","GC4397","8511.30.20","8511.30.20"
"AUGI161","carro","Gauss Bobina de Ignição","25","113","GC4401","8511.30.20","8511.30.20"
"AUGI162","carro","Gauss Bobina de Ignição","25","113","GC4407","8511.30.20","8511.30.20"
"AUGI163","carro","Gauss Bobina de Ignição","25","113","GC4408","8511.30.20","8511.30.20"
"AUGI164","carro","Gauss Bobina de Ignição","25","113","GC4419","8511.30.20","8511.30.20"
"AUGI165","carro","Gauss Bobina de Ignição","25","113","GC4420","8511.30.20","8511.30.20"
"AUGI166","carro","Gauss Bobina de Ignição","25","113","GC4421","8511.30.20","8511.30.20"
"AUGI167","carro","Gauss Bobina de Ignição","25","113","GC4423","8511.30.20","8511.30.20"
"AUGI168","carro","Gauss Bobina de Ignição","25","113","GC4424","8511.30.20","8511.30.20"
"AUGI169","carro","Gauss Bobina de Ignição","25","113","GC4425","8511.30.20","8511.30.20"
"AUGI170","carro","Gauss Bobina de Ignição","25","113","GC4427","8511.30.20","8511.30.20"
"AUGI171","carro","Gauss Bobina de Ignição","25","113","GC4434","8511.30.20","8511.30.20"
"AUGI172","carro","Gauss Bobina de Ignição","25","113","GC4437","8511.30.20","8511.30.20"
"AUGI173","carro","Gauss Bobina de Ignição","25","113","GC4448","8511.30.20","8511.30.20"
"AUGI174","carro","Gauss Bobina de Ignição","25","113","GC4449","8511.30.20","8511.30.20"
"AUGI175","carro","Gauss Bobina de Ignição","25","113","GC4458","8511.30.20","8511.30.20"
"AUGI176","carro","Gauss Bobina de Ignição","25","113","GC4464","8511.30.20","8511.30.20"
"AUGI177","carro","Gauss Bobina de Ignição","25","113","GC4471","8511.30.20","8511.30.20"
"AUGI178","carro","Gauss Bobina de Ignição","25","113","GC4482","8511.30.20","8511.30.20"
"AUGI179","carro","Gauss Bobina de Ignição","25","113","GC4485","8511.30.20","8511.30.20"
"AUGI180","carro","Gauss Bobina de Ignição","25","113","GC4490","8511.30.20","8511.30.20"
"AUGI181","carro","Gauss Bobina de Ignição","25","113","GC4502","8511.30.20","8511.30.20"
"AUGI182","carro","Gauss Bobina de Ignição","25","113","GC4504","8511.30.20","8511.30.20"
"AUGI183","carro","Gauss Bobina de Ignição","25","113","GC4505","8511.30.20","8511.30.20"
"AUGI184","carro","Gauss Bobina de Ignição","25","113","GC4506","8511.30.20","8511.30.20"
"AUGI185","carro","Gauss Bobina de Ignição","25","113","GC4510","8511.30.20","8511.30.20"
"AUGI186","carro","Gauss Bobina de Ignição","25","113","GC4531","8511.30.20","8511.30.20"
"AUGI187","carro","Gauss Bobina de Ignição","25","113","GC4547","8511.30.20","8511.30.20"
